id,title,releaseDate,price,image,link,productCode,couplings,description
1,ふるさと・北国・子守唄/東京ロンリー,2024.07.17,"¥1,400 (税込)",/images/discography/disco1.png,https://aforce.stores.jp/items/6629cdd0434b950030131117,YZWG-15327,"東京ロンリー, 来・来・来(ライ・ライ・ライ)",遅咲きのデビュー10周年記念シングル。欧陽菲菲さん「ラヴ・イズ・オーヴァー」の作詞作曲を手掛けた伊藤薫先生に書き下ろして頂きました。
2,チョメチョメムーチョ,2023.10.15,"¥1,400 (税込)",/images/discography/disco2.png,https://aforce.stores.jp/items/65152e598119e5002fa488ab,YZWG-15317,"時の砂漠, 水蓮歌",田辺ひでゆきとのおっさんデュオユニット。スーパーチョメチョメなアミーゴソング。CDパッケージには特製「澤田厄除け守」付き。
3,出発！進行！！/それでも、、、,2022.09.01,"¥1,200 (税込)",/images/discography/disco3.png,https://aforce.thebase.in/items/65496522,YZWG-15301,それでも、、、,次世代の歌謡曲への挑戦。J-POPスタイルで演歌の世界を再現。
4,オヤジは意外と乙女です！,2022.01.26,"¥1,500 (税込)",/images/discography/disco4.png,https://aforce.thebase.in/items/56189735,YZWG-15284,"ひろしのダジャレ節, 喧嘩するほど、、仲悪い！",澤田慶仁、田山ひろし、金村ひろしによるユニット「マブダッチ」のシングル。このCDの売上の一部は「子ども食堂」に寄付されます。
5,乾杯ってか！,2021.04.28,"¥1,300 (税込)",/images/discography/disco5.png,https://aforce.thebase.in/items/42555776,YZWG-15275,"なんとなく、、、, あれ！ほら！ブルース",1曲目は田山ひろしとのデュエット。2曲目は田山の本音の歌詞。3曲目は澤田の実生活の『あるある』を表現。オリコン週間演歌・歌謡曲シングルランキング4位獲得（2021年5月10日付）。
6,せんべい汁～THE・津軽三味線～,2020.12.02,"¥5,000 (税込)",/images/discography/disco6.png,https://aforce.thebase.in/items/35348981,YZWG-8004,,津軽三味線の演奏のみに特化した映像集DVD。澤田のルーツに立ち返る作品。
7,泊大漁ソーラン-2018-,2018.02.14,"¥1,200 (税込)",/images/discography/disco7.jpg,https://www.oricon.co.jp/prof/607610/products/1258193/1/,YZWG-15233,ロマンの港,
8,世の中捨てたもんじゃない,2018.01.17,"¥1,200 (税込)",/images/discography/disco8.jpg,https://www.oricon.co.jp/prof/607610/products/1258192/1/,YZWG-15232,親父節,
9,東京の月,2016.01.06,"¥1,200 (税込)",/images/discography/disco9.png,https://www.oricon.co.jp/prof/607610/products/1157053/1/,YZWG-15192,恋,
10,蛇の目傘,2014.04.09,"¥1,200 (税込)",/images/discography/disco10.png,https://www.oricon.co.jp/prof/607610/products/1064308/1/,YZWG-15144,"別れるときは, 泊大漁ソーラン",
11,たかが100年/まだ夢の途中,2014.03.14,"¥1,200 (税込)",/images/discography/disco11.png,https://www.oricon.co.jp/prof/607610/products/1064307/1/,YZWG-15234,,デビュー作。欧陽菲菲さん「ラヴ・イズ・オーヴァー」の作詞作曲を手掛けた伊藤薫先生による楽曲。
